Unnamed: 0,연번,채널명,유튜브 주소,주요 특징
중립/종합,1,삼프로TV,https://www.youtube.com/@3protv,경제/데이터 기반 객관적 이슈 분석 및 여야 정책 검증
중립/종합,4,국회방송 (NATV),https://www.youtube.com/@NATV_korea,국회 현장 가공 없는 생중계 (가장 객관적인 원본 영상)
중립/종합,5,슈카월드,https://www.youtube.com/@syukaworld,경제/역사적 관점에서의 이슈 분석 (이념적 논쟁 배제)
중립/종합,6,CBS 김현정의 뉴스쇼,https://www.youtube.com/@cbsnewsshow,여야 주요 정치인 균형 인터뷰 및 패널 토론
중립/종합,7,SBS 김태현의 정치쇼,https://www.youtube.com/@sbs_politics,"라디오 시사 프로그램, 여야 패널의 균형 있는 토론"
중립/종합,10,KTV 국민방송,https://www.youtube.com/@KTV_korea,정부 공식 정책 채널 (가공 없는 브리핑 등 제공)
진보,11,김어준의 겸손은힘들다 뉴스공장,https://www.youtube.com/@gyeomsonisnothing,진보 진영 최대 규모의 시사/정치 방송
진보,12,뉴스타파,https://www.youtube.com/@newstapa,권력 감시 및 탐사보도 전문 매체
진보,13,오마이TV,https://www.youtube.com/@OhmynewsTV,진보 인터넷 매체의 시사 프로그램 및 현장 중계
진보,14,새날,https://www.youtube.c좋아. 그리고om/@saenal,대표적인 대형 정치 팟캐스트/유튜브 채널
진보,15,서울의 소리,https://www.youtube.com/@VoiceOfSeoul,현장 중심의 강경 진보 성향 시사 매체
진보,16,이동형TV,https://www.youtube.com/@DHLeeTV,정치 평론가 이동형의 진보 시사 채널
진보,17,김용민TV,https://www.youtube.com/@kimyongminTV,"시사 평론 및 진보 성향 인터뷰, 논평"
진보,18,박시영TV,https://www.youtube.com/@parksiyoungTV,여론조사 전문가의 선거 및 정치 지형 분석
진보,19,사람사는세상 노무현재단,https://www.youtube.com/@443RohmoohyunFoundation,유시민의 알릴레오 등 진보 담론 형성
진보,20,시민언론 더탐사,https://www.youtube.com/@citizenpress_thetamsa,진보 성향의 탐사 기획 보도 및 이슈 추적
보수,21,펜앤드마이크TV,https://www.youtube.com/@penn1TV,정통 보수 시각의 뉴스 보도 및 심층 분석
보수,22,이봉규TV (봉규TV),https://www.youtube.com/@bonggyuTV,보수적 시각의 강도 높은 비판 및 평론
보수,23,가로세로연구소,https://www.youtube.com/@hoverlab,이슈 폭로 및 강도 높은 보수 우파 시사 평론
보수,24,고성국TV,https://www.youtube.com/@GoseongkukTV,정치평론가의 정통 보수 시각 정국 분석
보수,25,성창경TV,https://www.youtube.com/@SckTV,언론인 출신의 보수 논평 및 뉴스 분석
보수,26,배승희 변호사,https://www.youtube.com/@baeseunghee,보수 우파 시각의 정치 현안 평론 및 대담
보수,27,황장수의 뉴스브리핑,https://www.youtube.com/@HwangJangSoo,"보수적 시각의 정치, 경제 현안 심층 비판"
보수,28,어벤저스전략회의,https://www.youtube.com/@avengers_strategy,보수 성향 패널들의 정치 현안 대담 및 분석
보수,29,서정욱 변호사,https://www.youtube.com/@lawyer_seo,보수 진영의 논리로 주요 정치 및 법조 이슈 평론
보수,30,젊은 시각,https://www.youtube.com/@young_view,청년 보수 우파 관점에서의 주요 뉴스 리뷰 및 비판
